node name,Entrez Gene ID,promote proliferation,evade growth repressor,resist cell death,enable replicative immortality,Induce angiogenesis,Activate invasion & metastasis,Reprogramme energy metabolism,Evade immune destruction,Genome instability,Tumor promoting inflammation
RXRG,6258,0,0,0,0,0,0,0,0,0,0
PAX8,7849,0,0,1,0,0,0,0,0,0,0
PTPN6,5777,1,1,0,0,0,1,0,1,0,1
CD22,933,0,0,0,0,0,1,0,1,0,0
OSM,5008,1,1,1,0,0,0,0,1,0,1
CXCL10,3627,1,0,0,0,1,1,0,1,0,1
PDGFA,5154,1,0,0,0,1,1,0,0,0,1
FGFR1,2260,1,0,1,0,1,1,0,0,0,0
IL2RG,3561,0,0,0,0,0,0,0,1,0,0
ETS1,2113,1,1,1,0,1,1,0,1,0,1
PIK3R2,5296,0,0,0,0,0,1,1,1,0,0
CLDN17,26285,0,0,0,0,0,1,0,0,0,0
CLDN9,9080,0,0,0,0,0,1,0,0,0,0
UBR1,197131,0,1,0,0,0,0,0,0,0,0
ANAPC10,10393,1,1,0,0,0,0,0,0,0,0
WNT16,51384,1,0,0,1,0,1,0,0,0,0
AKT1,207,1,1,1,0,1,1,1,0,0,1
IRS1,3667,1,1,0,0,0,0,1,0,0,0
TSGA14,95681,0,0,0,0,0,0,0,0,0,0
CEP57,9702,1,0,0,0,0,0,0,0,0,0
SRF,6722,1,1,0,1,1,1,0,0,0,1
ST13,6767,0,0,0,0,0,0,0,0,0,0
LPL,4023,0,0,0,0,0,0,0,0,0,1
RPS23,6228,0,0,0,0,0,0,0,0,0,0
BMPR2,659,1,1,0,0,1,1,0,0,0,0
FZD3,7976,1,1,1,0,0,1,0,0,0,0
NFATC2,4773,1,0,0,0,0,1,0,1,0,0
NUP153,9972,1,0,0,0,0,0,0,0,0,0
MAGOH,4116,0,0,0,0,0,0,0,0,0,0
EP300,2033,1,1,1,0,0,1,1,1,1,0
POU4F2,5458,1,0,0,0,0,1,0,0,0,0
CCND1,595,1,1,0,0,0,0,0,0,1,0
EDN1,1906,1,0,1,0,1,1,1,1,0,1
MBP,4155,0,0,0,0,0,1,0,1,0,0
PIK3CG,5294,1,0,1,0,1,1,0,1,0,1
AKT2,208,1,1,1,0,0,1,1,0,0,0
FGF21,26291,1,0,1,0,0,0,1,0,0,0
SOS1,6654,1,0,1,0,0,1,0,1,0,0
PSMD1,5707,1,1,0,0,0,0,0,1,0,0
CUL5,8065,1,1,0,0,0,0,0,0,0,0
CACNA1H,8912,0,0,0,0,1,0,0,0,0,0
CACNB4,785,0,0,0,0,1,0,0,1,0,0
CCL15,6359,0,0,0,0,0,1,0,1,0,1
CXCR5,643,1,0,0,0,0,1,0,1,0,0
RPLP2,6181,0,0,0,0,0,0,0,0,0,0
RPS3A,6189,0,0,1,0,0,0,0,0,0,0
PRKCI,5584,1,0,1,0,0,1,1,0,0,0
NCL,4691,0,0,1,0,1,0,0,1,0,0
PSME3,10197,1,1,1,0,0,0,0,1,0,0
ADRA1A,148,1,1,0,0,1,0,0,0,0,0
GNAQ,2776,0,0,0,0,0,0,0,0,0,1
TLN1,7094,0,0,0,0,0,1,0,0,0,1
RPS3,6188,1,0,1,0,0,0,0,0,1,0
NUPL2,11097,1,0,0,0,0,0,0,0,0,0
XPO1,7514,1,0,0,0,0,0,0,0,0,0
ERCC2,2068,1,0,0,0,0,0,0,0,1,0
XPA,7507,0,0,0,0,0,0,0,0,1,0
ITGA7,3679,0,0,0,0,0,1,0,0,0,0
ADAM12,8038,0,0,0,0,0,1,0,0,0,0
SORBS1,10580,0,0,0,0,0,1,1,0,0,0
RHOQ,23433,0,0,0,0,0,1,1,0,0,0
YES1,7525,1,0,0,0,1,1,0,1,0,0
PDGFRB,5159,1,0,1,0,1,1,0,0,0,1
MAPK12,6300,1,1,0,0,0,0,0,0,0,0
THBS1,7057,1,1,1,0,1,1,0,1,0,1
VCAM1,7412,1,0,0,0,0,1,0,1,0,1
DYNLL1,8655,1,0,1,0,0,1,0,0,0,0
AKAP9,10142,1,0,0,0,1,0,0,0,0,0
CD79B,974,0,0,0,0,0,0,0,1,0,0
RPS6KB1,6198,1,1,1,0,0,1,1,0,0,0
YY1,7528,0,0,0,0,0,0,0,0,1,0
GDAP1,54332,0,0,0,0,0,0,0,0,0,0
MXD1,4084,1,0,0,0,0,0,0,0,0,0
TERT,7015,1,1,1,1,0,0,1,0,0,0
CDC26,246184,1,0,0,0,0,0,0,0,0,0
CBLC,23624,0,1,0,0,0,0,0,0,0,0
KDR,3791,1,0,1,0,1,1,0,0,0,0
CBLB,868,0,0,0,0,0,0,0,0,0,0
LOC652799,652799,0,0,0,0,0,0,0,0,0,0
ITGAM,3684,0,0,0,0,0,1,0,1,0,0
ICAM1,3383,1,1,1,0,1,1,1,1,0,1
HSPG2,3339,0,0,0,0,1,0,0,0,0,0
CPT1A,1374,0,0,0,0,0,0,1,0,0,0
MAP2K1,5604,1,1,0,1,0,1,0,0,0,0
PLA2G4A,5321,1,0,1,0,0,0,0,0,0,1
RPS28,6234,0,0,0,0,0,0,0,0,0,0
SMURF1,57154,1,1,0,0,0,1,0,0,0,0
CSF1R,1436,1,1,1,0,0,1,0,1,0,1
TBXA2R,6915,0,0,0,0,1,0,0,0,0,1
GNB5,10681,0,0,0,0,0,0,0,0,0,0
DVL2,1856,1,1,0,0,0,0,0,0,0,0
NOTCH3,4854,1,0,0,0,1,0,0,0,0,0
EIF4B,1975,0,0,0,0,0,0,0,0,0,0
BTK,695,1,0,1,0,0,0,0,1,0,1
RAP1A,5906,0,0,0,0,1,1,1,1,0,0
PSMB5,5693,1,1,0,0,0,0,0,1,0,0
IDE,3416,0,0,0,0,0,0,0,0,0,0
UBE2D1,7321,1,0,0,0,0,0,1,1,0,0
GAL,51083,1,1,1,0,0,0,0,0,0,1
TH,7054,0,0,0,0,1,0,0,0,0,0
MAPK8,5599,0,0,1,0,0,0,0,1,0,0
NAIP,4671,0,0,1,0,0,0,0,1,0,1
CCL4L1,9560,0,0,0,0,0,1,0,1,0,1
CCR5,1234,0,0,0,0,0,1,0,1,0,1
SMAD3,4088,1,1,1,0,0,1,0,1,0,1
RBL1,5933,1,0,0,0,0,0,0,0,0,0
CSNK2A2,1459,1,1,0,0,0,0,0,0,0,0
CDH1,999,0,0,0,0,0,1,0,0,0,0
FANCF,2188,0,0,0,0,0,0,0,0,1,0
PRKCQ,5588,1,1,1,1,1,1,0,1,0,1
SNRPA,6626,0,0,0,0,0,0,0,0,0,0
SNRPG,6637,0,0,0,0,0,0,0,0,0,0
FGFR4,2264,1,0,0,0,0,1,0,0,0,0
RIPK3,11035,1,0,1,0,0,1,0,1,0,0
PTBP2,58155,1,0,0,0,0,0,0,0,0,0
EIF4G2,1982,1,1,0,0,0,0,0,0,0,0
HLA-DRB1,3123,1,1,0,0,0,1,0,1,0,1
FLT4,2324,1,0,1,0,1,1,0,0,0,0
PIK3R3,8503,0,0,0,0,0,0,1,0,0,0
PSME4,23198,0,1,0,0,0,0,0,1,1,0
VASP,7408,0,0,0,0,0,1,0,0,0,0
RPH3A,22895,0,0,0,0,0,0,0,0,0,0
SRP68,6730,0,0,0,0,0,0,0,0,0,0
SRP72,6731,0,0,0,0,0,0,0,0,0,0
RASGRP3,25780,0,0,0,0,0,0,0,0,0,0
CACNA1E,777,0,0,0,0,0,0,0,0,0,0
NOTCH4,4855,0,0,0,0,1,0,0,0,0,0
RBPJL,11317,0,0,0,0,0,0,0,0,0,0
CARM1,10498,1,1,0,0,0,1,0,0,1,0
RPS5,6193,0,0,0,0,0,0,0,0,0,0
RPS21,6227,0,0,0,0,0,0,0,0,0,0
WNT7B,7477,1,0,0,0,1,1,0,0,0,0
LRP5,4041,1,0,1,0,1,1,1,1,0,0
ZAP70,7535,1,0,0,0,0,1,0,1,0,1
PLCG1,5335,0,0,0,0,1,1,0,1,0,0
GNAL,2774,0,0,0,0,0,0,0,0,0,0
ADCY6,112,0,0,0,0,1,1,0,0,0,0
PAK1,5058,1,1,0,0,0,1,0,1,0,1
OTUD7B,56957,0,1,0,0,0,0,0,1,0,0
FANCL,55120,1,0,0,0,0,0,0,0,1,0
FANCA,2175,1,0,0,0,0,0,0,0,1,0
RPL37,6167,0,0,0,0,0,0,0,0,0,0
GCG,2641,1,1,1,0,0,0,1,0,0,0
GLP2R,9340,1,0,0,0,0,0,0,0,0,0
C19orf40,91442,0,0,0,0,0,0,0,0,0,0
THY1,7070,0,1,0,0,1,1,0,1,0,0
MAPK10,5602,0,0,0,0,0,0,0,1,0,0
GNAI3,2773,1,0,0,0,0,0,0,0,0,0
CD3D,915,0,0,0,0,0,1,0,1,0,0
PCNA,5111,1,1,0,1,0,0,0,0,1,0
POLL,27343,0,0,0,0,0,0,0,0,1,0
PECAM1,5175,0,0,0,0,0,1,0,1,0,1
PXN,5829,0,0,0,0,0,1,0,0,0,0
POLR2C,5432,0,0,0,0,0,0,0,0,1,0
LPP,4026,0,0,0,0,0,1,0,0,0,0
EIF6,3692,0,0,0,0,0,0,1,0,0,0
RPL14,9045,0,0,0,0,0,0,0,0,0,0
CD40LG,959,1,0,1,0,0,1,0,1,0,1
GRK5,2869,1,1,1,0,0,0,0,0,0,0
ACTN1,87,0,0,1,0,0,1,0,0,0,1
BCAR1,9564,1,0,1,0,0,1,0,1,0,0
CDK7,1022,1,1,0,0,0,0,0,0,1,0
ZCCHC8,55596,0,0,0,0,0,0,0,0,0,0
GNAO1,2775,0,0,0,0,1,1,0,0,0,0
EIF3A,8661,0,0,0,0,0,0,0,0,0,0
RPL5,6125,0,0,0,0,0,0,0,0,0,0
JAK2,3717,1,1,1,0,1,1,0,1,0,1
PIK3CD,5293,0,0,0,0,0,1,0,1,0,1
CREBBP,1387,1,0,1,0,0,1,1,1,0,0
HDAC2,3066,1,0,1,0,0,1,0,0,0,1
ERBB2,2064,1,1,0,0,1,1,0,0,0,1
AZI1,22994,0,0,0,0,0,0,0,0,0,0
DYNC1H1,1778,1,0,0,0,0,0,0,0,0,0
CRIP2,1397,1,0,0,0,0,0,0,0,0,0
CDK5RAP2,55755,1,1,0,0,0,1,0,0,0,0
NDE1,54820,1,0,0,0,0,1,0,0,0,0
PTK2B,2185,1,1,1,0,1,1,0,1,0,0
HSP90AB1,3326,0,0,1,0,0,0,0,1,0,0
IKBKE,9641,0,0,0,0,0,0,0,1,0,0
A2M,2,0,0,0,0,0,0,0,1,0,1
HBA2,3040,0,0,0,0,0,0,0,0,0,0
RPS8,6202,0,0,0,0,0,0,0,0,0,0
FER,2241,1,0,0,0,0,1,0,1,0,0
PTPN11,5781,1,0,0,0,0,1,1,1,1,1
F2,2147,1,0,0,0,0,1,0,0,0,1
CCR3,1232,1,0,0,0,1,1,0,0,0,1
NTRK1,4914,1,1,1,0,1,1,0,0,0,0
AGAP2,116986,1,1,1,0,0,0,0,0,0,0
SMAD5,4090,0,0,0,0,1,0,0,0,0,0
IL12B,3593,1,1,1,0,0,1,0,1,0,1
CCL3,6348,0,0,1,0,0,1,0,1,0,1
LAT,27040,0,0,0,0,0,1,0,1,0,1
PSAP,5660,0,0,0,0,0,0,0,0,0,0
PRKAR1A,5573,1,1,0,0,0,1,0,0,0,1
CXCL12,6387,1,1,1,0,1,1,0,1,0,0
PFKL,5211,0,0,0,0,0,0,1,0,0,0
CER1,9350,1,1,0,0,0,1,0,0,0,0
WNT9B,7484,1,0,0,0,0,0,0,0,0,0
MAP2K7,5609,0,0,1,1,0,0,0,1,0,0
FAS,355,1,1,1,0,0,1,1,1,0,1
GLI3,2737,1,1,1,0,0,1,0,0,0,1
BMP8A,353500,0,0,1,0,0,0,0,0,0,0
APOE,348,1,1,1,0,1,1,0,1,0,1
VLDLR,7436,0,0,0,0,0,1,1,1,0,0
KIT,3815,1,0,1,0,0,1,0,1,0,1
IFNA2,3440,1,0,0,0,0,1,0,1,0,1
IL4,3565,1,1,1,0,0,1,0,1,0,1
TNFSF11,8600,1,0,0,0,0,1,0,1,0,1
TNFRSF1A,7132,1,0,1,0,0,0,0,1,0,1
SMPD1,6609,0,1,1,0,0,0,0,0,0,0
PKN2,5586,1,0,0,0,0,1,0,0,0,0
NCK2,8440,1,1,1,0,0,1,0,0,0,0
YWHAE,7531,1,0,1,0,1,1,0,0,0,0
SDCCAG8,10806,1,0,0,0,0,1,0,0,0,0
ARHGEF4,50649,0,0,1,0,0,1,0,0,0,0
RAC1,5879,1,0,1,0,0,1,0,1,0,1
COMP,1311,0,0,1,0,0,1,0,0,0,0
ITGA2,3673,1,0,0,0,0,1,0,1,0,1
PRKAR2B,5577,1,0,0,0,0,0,0,0,0,1
CCL11,6356,1,0,0,0,1,1,0,1,0,1
FGR,2268,1,0,0,0,0,1,0,1,0,0
SYK,6850,1,0,0,0,1,1,0,1,0,1
CDK1,983,1,1,1,0,0,1,0,0,1,0
ERCC6L,54821,1,0,0,0,0,0,0,0,0,0
TRAF2,7186,0,1,1,0,0,1,0,1,0,1
S1PR1,1901,1,0,0,0,1,1,0,0,0,0
MAPK3,5595,1,0,0,1,0,1,0,1,0,1
VTN,7448,0,0,0,0,0,1,0,1,0,1
AGA,175,0,0,0,0,0,0,0,0,0,0
SMAD4,4089,1,1,0,0,0,1,0,0,0,0
CPSF3,51692,0,0,0,0,0,0,0,0,0,0
PAPOLA,10914,0,0,0,0,0,0,0,0,0,0
IL2RB,3560,0,0,1,0,0,0,0,0,0,0
TYK2,7297,1,0,0,0,0,1,0,1,0,0
IRF1,3659,1,1,0,0,0,1,0,1,0,1
HSP90AA1,3320,1,0,0,0,1,1,0,1,0,0
ANP32A,8125,0,0,0,0,0,0,0,0,0,0
CASP3,836,1,1,1,0,0,1,0,0,0,1
CLDN15,24146,0,0,0,0,0,1,0,0,0,0
CLDN5,7122,0,0,0,0,0,1,0,0,0,0
IKZF3,22806,1,0,1,0,0,0,0,0,0,0
PLEKHM1,9842,0,0,0,0,0,0,0,0,0,0
DICER1,23405,1,1,0,0,0,1,0,0,0,0
KLC1,3831,0,0,0,0,0,0,0,0,0,0
SPAG9,9043,0,0,0,0,0,1,0,0,0,0
CEBPD,1052,0,0,0,0,0,0,0,0,0,0
HIF1A,3091,1,1,1,0,1,1,1,0,0,1
MARCKS,4082,0,0,0,0,0,1,1,0,0,0
CSNK1G1,53944,0,0,0,0,0,0,0,1,0,0
ATP2B1,490,0,0,0,0,1,0,0,0,0,0
CDC14B,8555,1,0,0,0,0,0,0,0,1,0
ANAPC7,51434,1,0,0,0,0,0,0,0,0,0
ILK,3611,1,1,1,0,0,1,0,0,0,1
CFH,3075,0,0,0,0,0,0,0,1,0,1
SELL,6402,0,0,0,0,0,1,0,1,0,0
NPY,4852,1,0,0,0,1,1,0,1,0,0
CRKL,1399,1,0,0,0,0,0,0,0,0,0
CCL20,6364,0,0,0,0,0,1,0,1,0,1
XCR1,2829,0,0,0,0,0,1,0,0,0,1
MAP3K6,9064,0,0,0,0,0,0,0,0,0,0
MAP2K6,5608,1,1,1,0,1,0,0,1,0,0
GCKR,2646,0,0,0,0,0,0,1,0,0,0
TSC2,7249,1,1,0,0,0,1,0,1,0,0
CD3G,917,0,0,1,0,0,1,0,1,0,0
CD19,930,0,0,0,0,0,0,0,1,0,0
HERPUD1,9709,0,1,1,0,0,0,0,0,0,0
PTGES2,80142,0,0,0,0,0,0,0,0,0,0
UBA52,7311,1,1,1,0,0,0,1,1,1,0
RPS7,6201,0,0,0,0,0,0,0,0,0,0
ITGA10,8515,0,0,0,0,0,1,0,0,0,0
RPS6KA4,8986,0,0,0,0,0,0,0,0,0,1
PRKACB,5567,1,1,0,0,0,0,0,1,0,1
PSMD11,5717,1,1,0,0,0,0,0,1,0,0
BTRC,8945,1,1,0,0,0,0,0,1,0,0
TGFBR1,7046,1,1,1,0,1,1,0,0,0,1
TGFBR3,7049,1,1,0,0,0,1,0,1,0,0
COPS5,10987,1,0,0,0,0,0,0,0,1,0
LDHA,3939,0,0,1,0,0,0,1,0,0,0
RPL6,6128,0,0,0,0,0,0,0,0,0,0
RPL23A,6147,1,0,0,0,0,0,0,0,0,0
RPS17,6218,0,0,0,0,0,0,0,0,0,0
ESPL1,9700,1,1,0,0,0,0,0,0,0,0
SMC1B,27127,1,0,0,0,0,0,0,0,0,0
CDKN1B,1027,1,1,1,0,0,0,0,0,1,0
PTGES3,10728,1,0,0,1,0,0,0,0,0,0
PSMB2,5690,1,1,0,0,0,0,0,1,0,0
NINL,22981,1,0,0,0,0,0,0,0,0,0
YWHAG,7532,1,0,1,0,0,0,0,0,0,0
PLK1,5347,1,1,1,0,0,0,0,0,1,0
DYNC1I2,1781,1,0,0,0,0,0,0,0,0,0
NRG1,3084,1,1,1,0,1,1,0,0,0,1
SH2B2,10603,0,0,0,0,0,1,0,1,0,1
TNC,3371,1,0,0,0,0,1,0,0,0,1
ITGB1,3688,1,1,1,0,1,1,0,1,0,0
GRAP,10750,0,0,0,0,0,0,0,0,0,0
INPPL1,3636,1,1,0,0,0,1,1,1,0,0
RHOF,54509,0,0,0,0,0,1,0,0,0,0
